,Specificity,Sensitivity,PPV,NPV
Adrenal Gland,1.0,1.0,1.0,1.0
Bladder,1.0,0.9642857142857143,1.0,0.9913793103448276
Breast,0.9928571428571429,1.0,0.75,1.0
Colorectal,1.0,1.0,1.0,1.0
Esophagus,0.950354609929078,1.0,0.2222222222222222,1.0
Head and Neck,1.0,0.8833333333333333,1.0,0.9222222222222223
Kidney,1.0,1.0,1.0,1.0
Liver,0.9929078014184397,1.0,0.6666666666666666,1.0
Lung,1.0,0.6666666666666666,1.0,0.9929078014184397
Pancreas,1.0,1.0,1.0,1.0
Stomach,1.0,1.0,1.0,1.0
Thyroid,1.0,1.0,1.0,1.0
Overall,0.994676629517055,0.9595238095238096,0.8865740740740741,0.9922091111654575
